               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.054572,            0.026979,                   0,             0.51378,             0.44746,             0.38987,             0.18573,            0.062755,            0.018475,                   0,           0.0098703,           0.0098703,           0.0098703
                 133,            0.050897,            0.026214,                   0,             0.51378,             0.44746,             0.38987,             0.18573,            0.062755,            0.018475,                   0,           0.0098693,           0.0098693,           0.0098693
                 134,            0.052869,            0.025593,                   0,             0.44506,             0.46154,             0.29916,             0.13797,            0.057964,            0.019862,                   0,           0.0098683,           0.0098683,           0.0098683
                 135,            0.046317,            0.019946,                   0,             0.44506,             0.46154,             0.29916,             0.13797,            0.057964,            0.019862,                   0,           0.0098673,           0.0098673,           0.0098673
                 136,            0.046556,            0.029342,                   0,             0.36047,             0.61538,             0.27641,             0.11198,            0.057922,            0.019882,                   0,           0.0098664,           0.0098664,           0.0098664
                 137,            0.052733,            0.023684,                   0,             0.36047,             0.61538,             0.27641,             0.11198,            0.057922,            0.019882,                   0,           0.0098654,           0.0098654,           0.0098654
                 138,            0.055721,            0.025448,                   0,             0.36047,             0.61538,             0.27641,             0.11198,            0.057922,            0.019882,                   0,           0.0098644,           0.0098644,           0.0098644
                 139,            0.043321,            0.022417,                   0,             0.42655,              0.5723,             0.31211,             0.14144,            0.056488,            0.019323,                   0,           0.0098634,           0.0098634,           0.0098634
                 140,            0.050315,            0.025849,                   0,             0.42655,              0.5723,             0.31211,             0.14144,            0.056488,            0.019323,                   0,           0.0098624,           0.0098624,           0.0098624
                 141,            0.052383,              0.0291,                   0,             0.32373,             0.51574,             0.24082,             0.13824,            0.051515,            0.020649,                   0,           0.0098614,           0.0098614,           0.0098614
                 142,            0.049846,            0.020055,                   0,             0.32373,             0.51574,             0.24082,             0.13824,            0.051515,            0.020649,                   0,           0.0098604,           0.0098604,           0.0098604
                 143,            0.049669,              0.0191,                   0,             0.47918,             0.38462,             0.34164,             0.14045,            0.054148,             0.01895,                   0,           0.0098594,           0.0098594,           0.0098594
                 144,            0.059803,            0.026328,                   0,             0.47918,             0.38462,             0.34164,             0.14045,            0.054148,             0.01895,                   0,           0.0098584,           0.0098584,           0.0098584
                 145,            0.059245,            0.023051,                   0,             0.47918,             0.38462,             0.34164,             0.14045,            0.054148,             0.01895,                   0,           0.0098574,           0.0098574,           0.0098574
                 146,            0.060848,            0.025551,                   0,             0.43151,             0.40907,             0.37233,             0.12818,            0.058103,            0.018674,                   0,           0.0098565,           0.0098565,           0.0098565
                 147,            0.062542,            0.021142,                   0,             0.43151,             0.40907,             0.37233,             0.12818,            0.058103,            0.018674,                   0,           0.0098555,           0.0098555,           0.0098555
                 148,            0.052362,            0.025953,                   0,             0.50991,             0.44062,             0.44061,             0.17345,            0.054146,            0.019223,                   0,           0.0098545,           0.0098545,           0.0098545
                 149,            0.047481,            0.027954,                   0,             0.50991,             0.44062,             0.44061,             0.17345,            0.054146,            0.019223,                   0,           0.0098535,           0.0098535,           0.0098535
                 150,             0.04622,            0.024822,                   0,             0.46718,             0.57692,             0.41255,             0.22587,            0.050572,             0.01928,                   0,           0.0098525,           0.0098525,           0.0098525
                 151,            0.046759,            0.021319,                   0,             0.46718,             0.57692,             0.41255,             0.22587,            0.050572,             0.01928,                   0,           0.0098515,           0.0098515,           0.0098515
                 152,            0.042969,            0.020585,                   0,             0.35642,                 0.5,             0.31339,             0.18681,            0.053208,             0.01851,                   0,           0.0098505,           0.0098505,           0.0098505
                 153,            0.052462,            0.024067,                   0,             0.35642,                 0.5,             0.31339,             0.18681,            0.053208,             0.01851,                   0,           0.0098495,           0.0098495,           0.0098495
                 154,            0.051626,            0.022935,                   0,             0.35642,                 0.5,             0.31339,             0.18681,            0.053208,             0.01851,                   0,           0.0098485,           0.0098485,           0.0098485
                 155,            0.046148,            0.022455,                   0,             0.37077,             0.42308,             0.24783,             0.13507,            0.053048,            0.018947,                   0,           0.0098475,           0.0098475,           0.0098475
                 156,            0.048215,            0.022311,                   0,             0.37077,             0.42308,             0.24783,             0.13507,            0.053048,            0.018947,                   0,           0.0098466,           0.0098466,           0.0098466
                 157,            0.045875,             0.02229,                   0,             0.32035,             0.57692,             0.29673,              0.1662,            0.051593,            0.018991,                   0,           0.0098456,           0.0098456,           0.0098456
                 158,            0.046167,            0.021928,                   0,             0.32035,             0.57692,             0.29673,              0.1662,            0.051593,            0.018991,                   0,           0.0098446,           0.0098446,           0.0098446
                 159,            0.042098,            0.025127,                   0,             0.46822,             0.40679,             0.32751,             0.20253,            0.051243,            0.018553,                   0,           0.0098436,           0.0098436,           0.0098436
                 160,            0.048367,            0.024006,                   0,             0.46822,             0.40679,             0.32751,             0.20253,            0.051243,            0.018553,                   0,           0.0098426,           0.0098426,           0.0098426
                 161,            0.051176,            0.022068,                   0,             0.46822,             0.40679,             0.32751,             0.20253,            0.051243,            0.018553,                   0,           0.0098416,           0.0098416,           0.0098416
                 162,            0.050016,            0.021465,                   0,             0.47497,             0.48745,             0.37817,             0.24753,            0.052044,            0.018198,                   0,           0.0098406,           0.0098406,           0.0098406
                 163,            0.046148,            0.019876,                   0,             0.47497,             0.48745,             0.37817,             0.24753,            0.052044,            0.018198,                   0,           0.0098396,           0.0098396,           0.0098396
